CLS/AccountMaintenancePortal,web-cls-account-maintenance-portal
CLS/Barcode,web-cls-barcode
CLS/BatchExaminer/,web-cls-batch-examiner
CLS/CLSEmployerAccountSetupReport/,web-cls-employer-account-setup-report
CLS/CLSLabAuthorization/,web-cls-lab-authorization
CLS/ColdFusion/CLSWorkReport/,web-cls-cold-fusion-work-report
CLS/ColdFusion/USHWSweep/,web-cls-cold-fusion-ushw-sweep
CLS/CustSvcDataEntry/tcs/,web-cls-data-entry-tcs
CLS/CustSvcDataEntry/toxde/,web-cls-data-entry
CLS/DigitalSignatureAdmin/,web-cls-digital-signature-admin
CLS/DistributionCenter/ConsentCapture/,web-cls-distribution-center-consent-capture
CLS/Metrics/MetricsScheduler/,web-cls-metrics-scheduler
CLS/Metrics/MetricsViewer/,web-cls-metrics-viewer
CLS/State_Reporting/,web-cls-state-reporting
CLS/ToTransmitRewrite/ToTransmitBusinessLogic/,logic-cls-to-transmit-rewrite-business
CLS/ToxSupportUtil/,util-cls-tox-support
CLS/WLS/DataTransmit/,util-cls-wls-data-transmit
CLS/WLS/HealthwaysWSDL/,ws-cls-wls-healthways-wsdl
CLS/WLS/provider-selector/,ws-cls-wls-provider-selector
CLS/WebCert/,web-cls-web-cert
CLS/cls-host-filter/,util-cls-host-filter
CLS/cls-ordering/,web-cls--ordering
CLS/clsworklist/,util-cls-worklist
CLS/eSignature/,web-cls-e-signature
CLS/fitnesse/CLSFitnesse/,util-cls-fitnesse
CLS/fitnesse/python-lib/,extrpt-cls-fitnesse-python-lib
CLS/html2ps/,web-cls-html-2-ps
CLS/ivr/clsoasisxml-ear/,web-cls-ivr-oasis-xml-ear
CLS/ivr/clsoasisxml-war/,web-cls-ivr-oasis-xml-war
CLS/ivr/,web-cls-ivr
CLS/labview-model/,util-cls-labview-model
CLS/labview-order-interface/,web-cls-labview-order-interface
CLS/sample-event-tracking/,web-all-sample-event-tracking
CRL/AccountCreation/,web-all-account-creation
CRL/CRLCommonUtil/,util-all-common
CRL/CRLICR/CRLIcrUpdateSample/,ws-all-icr-update-sample
CRL/CRLICR/CrlIcrService/,ws-all-icr-service
CRL/CRLICR/ICRFormsTest/,util-all-icr-forms-test
CRL/CRLICR/LimsIcrValidation/,ws-all-icr-lims-validation
CRL/CRLSpringBootWebauthJaas/,util-alll-spring-boot-web-auth-jaas 
CRL/CRLWebServices/,web-all-web-services
CRL/ColdFusion/CRLVolumeReport/,web-all-coldfusion-volume-report
CRL/ColdFusion/Common_DoNotUse/,web-all-coldfusion-common-do-not-use
CRL/ColdFusion/DCInboundLabel/,web-all-coldfusion-dc-inbound-label
CRL/ColdFusion/DSIInboundReceipt/,web-all-coldfusion-dsi-inbound-receipt
CRL/ColdFusion/DocumentAccess/,web-all-coldfusion-document-access
CRL/ColdFusion/ImageAccess/,web-all-coldfusion-image-access
CRL/ColdFusion/ImageRetrievalService/,web-all-coldfusion-image-retrieval-service
CRL/ColdFusion/ManageInbound/,web-all-coldfusion-manage-inbound
CRL/ColdFusion/OasisSampleRemoval/,web-all-coldfusion-oasis-sample-removal
CRL/ColdFusion/ReconcileImages/,web-allcoldfusion-reconcile-images
CRL/ColdFusion/UserAdmin/,web-all-coldfusion-user-admin
CRL/ColdFusion/WebOasis/,web-all-coldfusion-web-oasis
CRL/ColdFusion/eBusUtilities/,web-all-coldfusion-e-bus-utilities
CRL/ColdFusion/eCompliance/,web-all-coldfusion-e-compliance
CRL/ColdFusion/eQuestion/,web-all-coldfusion-e-question
CRL/ColdFusion/status/,web-all-coldfusion-status
CRL/JSFComponents/,util-all-jsf-components
CRL/PWNHealth/PWNService/,web-all-pwn-health-service
CRL/PWNHealth/pwn-data-conversion-module/,wsal-l-pwn-health-data-conversion-model
CRL/SocketLib/,util-all-socket-lib
CRL/SocketListener/,util-all-socket-listener
CRL/SpringBootRestExceptionHandling/,util-all-spring-boot-rest-exception-handling
CRL/StateReporting/,logic-all-state-reporting
CRL/StateReportingServices/SSIS/,logic-all-state-reporting-services-ssis
CRL/StateReportingServices/SSRS/,logic-all-state-reporting-services-ssrs
CRL/StateReportingServices/VerifierService/,logic-all-state-reporting-services-verifier-service
CRL/SureGene/ExcelDocument/,logic-all-sure-gene-excel-document
CRL/SureGene/FormFox_Billing/,logic-all-sure-gene-formfox-billing
CRL/SureGene/GeneLattice/,logic-all-sure-gene-lattice
CRL/SureGene/Physician_Portal/,logic-all-sure-gene-physician-portal
CRL/SureGene/SGPhenotyper/,logic-all-sure-gene-phenotyper
CRL/SureGene/SGReportService/,logic-all-sure-gene-report-service
CRL/Utils/ImageUtils/,util-all-image-utils
CRL/Utils/TestJndiDatasources/,util-all-test-jndi-datasources
CRL/Utils/X509Utils/,util-all-x509
CRL/Utils/ZPLBarcodeUtils/,util-all-zpl-barcode
CRL/Utils/hl7-fhir-util/,util-all-hl7-fhir
CRL/barcode/,logic-all-barcode
CRL/barcode-printer/,web-all-barcode-printer
CRL/barcodeprint/webservice/,ws-all-barcode-print-webservice
CRL/barcodeprint/webutil/,web-all-barcode-print-web
CRL/crl-util/,util-all-util
CRL/crl-util-datavalidator/,util-all-data-validator
CRL/crl-util-demographics/,util-all-demographics
CRL/crl-util-ftp/,util-all-ftp
CRL/crl-util-jdk8/,util-all-jdk8
CRL/crl-util-lang/,util-all-lang
CRL/crl-util-mail/,util-all-mail
CRL/crl-util-security/,utll-all-security
CRL/crl-util-smb/,util-all-smb
CRL/crl_hl7_lib/,util-all-hl7-lib
CRL/excel-util/,util-all-excel-util
CRL/hibernate/rdb-dialect/,logic-all-hibernate-rdb-dialect
CRL/jsf-1.1-util/,util-all-jsf-1.1
CRL/jsf-1.2-util/,util-all-jsf-1.2
CRL/marshaller-util/,util-all-marshaller
CRL/participant/AccountManagement/,web-all-participant-account-management
CRL/participant/AccountMapping/,web-all-participant-account-mapping
CRL/participant/EventMaintenance/,web-all-participant-event-maintenance
CRL/participant/EventRequest/,web-all-participant-event-request
CRL/participant/ParticipantMaintenance/,web-all-participant-participant-maintenance
CRL/participant/ParticipantSignup/,web-all-participant-participant-signup
CRL/participant/PerstrackAdministration/,web-all-participant-perstrack-administration
CRL/participant/PerstrackJAAS/,logic-all-participant-perstrack-jaas
CRL/participant/PerstrackRest/,ws-all-participant-perstrack-rest
CRL/participant/WellnessDataManagement-Prime/,web-all-participant-wellness-data-management-prime
CRL/pdf-util/,util-all-pdf
CRL/profile/service/,logic-all-profile-service
CRL/profile/webtool/,web-all-profile
CRL/prototype/Basic-Prime/,web-all-prototyper-basic-prime
CRL/quartz-plugin/,util-all-quartz-plugin
CRL/swt-core/,logic-all-swt-core
CRL/websecure-parent/,ws-all-websecure-parent
CRL-PLUS/InsightUtils/,util-all-plus-insight
Examples/JSF/JSFTemplate/,web-all-examples-jsf-template
Examples/JSF/PrimeFacesExample/,web-all-examples-jsf-prime-faces
Examples/JSP/Snoop/,web-all-examples-jsp-snoop
Examples/Spring/Example1Simple/,logic-all-examples-spring-example1-simple
Examples/Spring/TestNamedNativeQuery/,logic-all-examples-spring-test-named-native-query
ILS/ACORD/,logic-ils-acord
ILS/Accessioning/ils-ops/,logic-ils-accessioning-ils-ops
ILS/Accessioning/ils-ops/ils-ops-mf-roundhouse/,logic-ils-accessioning-ils-ops-mf-roundhouse
ILS/ActiveDirectoryAuthentication/,logic-ils-active-directory-authentication
ILS/BarcodeSeparatorPage/,web-ils-barcode-separator-page
ILS/CaseManagementPortal/,web-ils-case-management-portal
ILS/ColdFusion/DEQCReview/,web-ils-cold-fusion-deqc-review
ILS/ColdFusion/DataReductionImages/,web-ils-cold-fusion-data-reduction-images
ILS/ColdFusion/ILSDiscountReport/,web-ils-cold-fusion-ils-discount-report
ILS/ColdFusion/ILSStats/,web-ils-cold-fusion-ils-stats
ILS/ColdFusion/SalivaAdmin/,web-ils-cold-fusion-saliva-admin
ILS/ColdFusion/SalivaTraining/,web-cold-fusion-saliva-training
ILS/ColdFusion/SampleWatch/,web-cold-fusion-sample-watch
ILS/ConsentCopy/,web-ils-consent-copy
